,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
17,ky,smoothed_cli,2020-09-04,2020-11-19,76,0.6757382,0.1047251,4660.9551,state,fb-survey
18,la,smoothed_cli,2020-09-04,2020-11-19,76,0.6950616,0.1155143,3885.1818,state,fb-survey
19,ma,smoothed_cli,2020-09-04,2020-11-19,76,0.254399,0.0558247,6067.0145,state,fb-survey
20,md,smoothed_cli,2020-09-04,2020-11-19,76,0.3407038,0.0753444,4793.9976,state,fb-survey
21,me,smoothed_cli,2020-09-04,2020-11-19,76,0.4792215,0.140497,1990.0,state,fb-survey
22,mi,smoothed_cli,2020-09-04,2020-11-19,76,0.4578884,0.056141,11290.0707,state,fb-survey
23,mn,smoothed_cli,2020-09-04,2020-11-19,76,0.4671311,0.0811279,5520.5843,state,fb-survey
24,mo,smoothed_cli,2020-09-04,2020-11-19,76,0.6821892,0.0937079,6080.2249,state,fb-survey
25,ms,smoothed_cli,2020-09-04,2020-11-19,76,1.108505,0.1780901,2744.6299,state,fb-survey
26,mt,smoothed_cli,2020-09-04,2020-11-19,76,0.5935143,0.1645848,1549.9261,state,fb-survey
27,nc,smoothed_cli,2020-09-04,2020-11-19,76,0.5984447,0.0665397,10142.0097,state,fb-survey
28,nd,smoothed_cli,2020-09-04,2020-11-19,76,0.6338492,0.2356942,958.8533,state,fb-survey
29,ne,smoothed_cli,2020-09-04,2020-11-19,76,1.0591966,0.1979818,2124.6169,state,fb-survey
30,nh,smoothed_cli,2020-09-04,2020-11-19,76,0.2330763,0.0963185,1945.0,state,fb-survey
31,nj,smoothed_cli,2020-09-04,2020-11-19,76,0.2210783,0.0435478,7221.9967,state,fb-survey
32,nm,smoothed_cli,2020-09-04,2020-11-19,76,0.4386459,0.118716,2061.3842,state,fb-survey
33,nv,smoothed_cli,2020-09-04,2020-11-19,76,0.6469239,0.1376392,2424.4501,state,fb-survey
34,ny,smoothed_cli,2020-09-04,2020-11-19,76,0.3229338,0.0391801,14969.0019,state,fb-survey
